Season,EpisodeNo,AirDate,Writers,Director,SEID,tconst,Title,EpiNo_Netflix,runtimeMinutes,numVotes,averageRating,Description,Summaries,keyWords
2,6,"April 11, 1991",Larry David,Tom Cherones,S02E06,tt0697787,The Statue,6,23.0,4037,7.9,A statue wanted by George is stolen from Jerry's apartment by the boyfriend of a writer Elaine is working with.,"[""After George and Kramer fight over an old statue belonging to his late grandfather, it disappears from his apartment. Jerry's hired a grad student to clean his apartment - he's the boyfriend of one of Elaine's clients - and when they drop in on them, Jerry sees the statue on their mantle. Elaine's afraid of losing an important client but it's Kramer who comes to the rescue.—garykmcd""]","['dragnet', 'statue', 'finland', 'cleaner', 'actor', 'theft', 'stage name', 'childhood memory', 'argument in an elevator']"
2,7,"April 18, 1991",Larry David,Tom Cherones,S02E07,tt0697766,The Revenge,7,23.0,4102,8.2,"George takes revenge on his boss for not hiring him back after he quit and was rude to him, and Jerry and Kramer take revenge on a dry cleaner after Jerry accuses him of stealing $1,500 from his laundry bag.","[""In a fit of pique - his boss tells him his personal office bathroom is out of bounds - George quits his job letting him know just what he thinks of him. As he and Jerry discuss his future, he realizes that he may have acted precipitously and so Jerry suggests that he should just show up for work on Monday morning and pretend as if nothing happened. His boss won't let him get away with that and so George enlists Elaine to help him get his revenge. Jerry meanwhile realizes that he left $1500 in his laundry bag but when laundry service tells him their not responsible for its disappearance, Kramer suggests they get him.—garykmcd""]","['revenge', 'laundry', 'knockout drops', 'real estate agency', 'worker rehired', 'cigar smoking', 'sneeze', 'quitting a job']"
2,8,"April 25, 1991",Larry Charles,Tom Cherones,S02E08,tt0697709,The Heart Attack,8,23.0,4059,7.8,"After suffering what he thinks is a heart attack, George discovers he has inflamed tonsils and seeks alternative medicine to heal.","[""At lunch at Monk's, George thinks he's having a heart attack and is rushed to the hospital to learn that the only thing wrong with him is tonsillitis. Kramer suggests that he should seek alternative therapies to surgery and suggest he visit his own herbalist, Tor. Jerry thinks it's all ridiculous, especially after he sees just what Tor is up to. Elaine meanwhile takes a liking to George's doctor and they go out on a date that doesn't go too well.—garykmcd""]","['tonsillitis', 'neck brace', 'ambulance crash', 'tea', 'holding tongue', 'pyramid', 'hearing characters thoughts', 'reference to johnny yuma', 'flirting', 'stethoscope', 'smothered with a pillow', 'ambulance', 'cucumber', 'cookie', 'appetite']"
2,9,"May 2, 1991",Larry Charles,Tom Cherones,S02E09,tt0697682,The Deal,9,23.0,4061,8.2,"Jerry and Elaine believe that they have found a foolproof way to start having sex again yet still remain just friends, but they quickly start encountering problems.","[""Neither Elaine or Jerry have had sex for awhile and they begin to speculate on how they could become sexual partners again but still remain friends no matter what happens. They agree on a set of rules that they think will keep their friendship intact but it soon becomes apparent that it isn't going to work very well. Jerry also begins to obsess over what to get her for her birthday eventually settling on something inappropriate. Kramer however seems to hit just the right notes as far as gift-giving goes.—garykmcd""]","['reference to aquaman', 'friends with benefits', 'roommate', 'money as a gift', 'birthday card', 'bench', 'birthday gift', 'trying on clothes']"
2,10,"May 16, 1991",Larry Charles,Tom Cherones,S02E10,tt0697652,The Baby Shower,10,23.0,3898,7.4,"Kramer convinces Jerry to get illegal cable. Elaine holds a baby shower for a former girlfriend of George, on whom he wants revenge for a callous incident.","['Jerry is going to be out of town for the weekend and Elaine gets his OK to use his apartment to host a baby shower for an old college friend, Leslie. George remembers her all too well as they had been out on a disastrous date two years before. He always regretted not telling her exactly what he thought of her. Kramer meanwhile has been after Jerry to get an illegal cable hook-up from his Russian friends. Jerry reluctantly agrees - but he has visions of the FBI descending upon him. When Jerry returns home unexpectedly after bad weather cancels his trip, he arrives in the middle of the baby shower as do the oafish Russians to install the cable. George gets his chance to tell Leslie what he thinks of her - if he can get the courage to do so.—garykmcd']","['fbi federal bureau of investigation', 'baby shower', 'reference to ayatollah kohmeni', 'pregnancy', 'grudge', 'fear of flying', 'nightmare', 'entrapment', 'bootleg cable television']"
2,11,"May 23, 1991","Larry David, Jerry Seinfeld",Tom Cherones,S02E11,tt0697675,The Chinese Restaurant,11,23.0,4912,8.6,"Jerry, Elaine and George stop for a quick Chinese dinner before seeing ""Plan 9 From Outer Space,"" but circumstances at the eatery make them miss the movie.","[""Waiting for a table at a Chinese restaurant where they've been told it'll be 5 or 10 minutes, Elaine, George and Jerry find people arriving after them being seated ahead of them. Elaine is starving and Jerry dares her to walk to a table and eat someone's food. He also sees someone who he can't place. George meanwhile is desperate to call Tatiana and gets upset when others in the restaurant lobby hog the pay phone.—garykmcd""]","['pay phone', 'waiting for a table in a restaurant', 'chinese restaurant', 'dare', 'cannibalism', 'hungry', 'apology', 'single set production', 'betting', 'classic episode']"
2,12,"June 26, 1991","Larry David, Jerry Seinfeld",Tom Cherones,S02E12,tt0697664,The Busboy,12,23.0,3883,7.6,"George tries to apologize to a busboy after one of his comments got him fired, but he only makes things worse. Elaine tries to get one of her male friends out of her house.","[""While eating out, Jerry, Elaine and George stamp out a menu that has caught on fire at a nearby table. George casually mentions that the busboy had just put it on the table. He cringes however however when the busboy is summarily fired. He obsesses over the incident to the point where he feels he has no choice but to track the busboy down and apologize in person. He manages to find him only to let the man's cat out the door and it promptly disappears. Meanwhile, Elaine has a friend staying with her for a week and he's driving her mad.—garykmcd""]","['guilt', 'falling down stairs', 'saving a life', 'melodrama', 'oversleeping', 'lost cat', 'business card', 'breaking lamp', 'slum', 'sticking chest out', 'fired from a job', 'pesto', 'spaghetti']"
3,1,"September 18, 1991",Larry David,Tom Cherones,S03E01,tt0697741,The Note,1,22.0,4151,8.2,Physical therapy proves painful for Jerry when his small talk with the therapist leads to a misunderstanding; Jerry uses a dentist note to cover his therapy.,"[""Elaine and George are fascinated to learn that a massage from a physical therapist can be claimed on health insurance if they have a doctor's note. Jerry offers to get his dentist friend to provide a note for them. George is enthusiastic about it all until he learns that his massage will be given by Raymond, leading him afterward to wonder if he is gay. Jerry is having his own problems with his masseuse who now fears he's a child molester. Kramer meanwhile has trouble convincing everyone that he saw Joe DiMaggio in coffee shop.—garykmcd""]","['massage', 'dentist', 'masseuse', 'dunking doughnut', 'torn clothes', 'homophobia', 'reference to evander holyfield', 'reference to marilyn monroe', 'reference to joe dimaggio', 'insurance fraud']"
3,2,"September 25, 1991",Elaine Pope,David Steinberg,S03E02,tt0697801,The Truth,2,22.0,3762,7.7,A bad breakup between George and his girlfriend leads to tax troubles for Jerry.,"[""Jerry is being audited by the IRS but everything is in hand as George's new girlfriend Patrice is an accountant and former IRS auditor and she has agreed to help him out. Unfortunately, George isn't too happy with the relationship and when she asks him to tell her the truth about how he feels, he obliges. Their break-up leads Patrice to a residential depression clinic and Jerry is desperate to get his tax receipts back. Elaine meanwhile is having to put up with Kramer who is dating her roommate. She is particular upset by the fact that Kramer accidentally saw her naked.—garykmcd""]","['man wrapped in a towel', 'arm sling', 'breaking up', 'windshield']"
3,3,"October 2, 1991",Larry David,Tom Cherones,S03E03,tt0697749,The Pen,3,22.0,4184,8.2,"Jerry and Elaine travel to Florida for a dinner in honor of his father. Jerry gets into an argument with a neighbor of his parents over an ""astronaut pen.""","[""Jerry and Elaine visit his parents in Florida and to attend a dinner in honor of his father. They meet the neighbors, Jack and Doris, and after Jerry admires Jack's astronaut pen, he offers it to him, which Jerry gladly accepts. He didn't really want to give it to him which leads to non-stop gossip. It all leads to an interesting dinner. Elaine meanwhile has an uncomfortable night on the pull-out bed - the lack of air conditioning doesn't help - hurting her back. Desperate to go back to New York, she is told by a chiropractor she has to stay for another 5 days.—garykmcd""]","['astronaut', 'testimonial dinner', 'roast', 'black eye', 'retirement community', 'cigar smoking', 'giving directions', 'sweating', 'pen that writes upside down']"
3,4,"October 9, 1991",Larry David,Tom Cherones,S03E04,tt0697686,The Dog,4,22.0,4087,7.1,Jerry is forced to care for the disobedient dog of a man he met on a plane.,"[""After striking up a casual acquaintance with his seat-mate on a flight home, Jerry is stuck caring for his dog after he falls ill and the aircraft makes an emergency landing in Chicago so he can be hospitalized. After three days of keeping the dog in his apartment, Jerry is at his wits end. He doesn't want to go out in case the dogs makes a mess and he has no idea when the owner may show up to collect him. Kramer meanwhile decides that he wants to break up with his latest girlfriend.—garykmcd""]","['animal in episode title', 'dog in episode title', 'small talk', 'dog', 'mcdonnell douglas dc 10', 'drunken man']"
3,5,"October 16, 1991",Larry Charles,Joshua White,S03E05,tt0697721,The Library,5,22.0,4578,8.5,"The library asks Jerry about a book he checked out in 1971 and never returned, so Jerry looks up an old girlfriend for his defense against a library cop.","[""Jerry is amazed to receive a letter from the New York City Library telling him he has a overdue book - from 1971. He's certain he returned it - a copy of Henry Miller's Tropic of Cancer - but the library's chief investigator, a no-nonsense tough guy right out of a bad Hollywood movie, doesn't want to hear excuses. George is shaken when he goes to the library with Jerry only to see a homeless man on the step who is the spitting image of his high school tormentor, gym teacher Mr. Heyman. It was George's complaint that got the man fired and he now thinks he may have ruined his life. Kramer meanwhile starts dating the librarian and Elaine is convinced that her boss is out to fire her.—garykmcd""]","['library', 'book', 'librarian', 'homeless man', 'library book', 'poetry', 'reading aloud', 'locker room', 'lecture', 'wedgie', 'feeling insecure', 'rubber stamp', 'public library', 'overdue library book']"
3,6,"October 30, 1991",Larry David,Tom Cherones,S03E06,tt0697747,The Parking Garage,6,22.0,5028,8.7,The four get stuck in a parking garage for hours when they forget where they parked.,"[""Having gone to a mall in Jersey so Kramer can buy a new air conditioner, George, Jerry, Elaine and Kramer find themselves unable to find their car when they're ready to go home. George has an outing with his parents, Jerry is in dire need of a bathroom and Elaine's repeated attempts to get help from other shoppers are a dismal failure.—garykmcd""]","['air conditioner', 'parking garage', 'car trouble', 'parking lot', 'reference to l. ron hubbard', 'yelling', 'public urination', 'goldfish in a plastic bag', 'single set production', 'goldfish', 'classic episode']"
3,7,"November 6, 1991",Tom Leopold,Tom Cherones,S03E07,tt0697668,The Cafe,7,22.0,3908,8.4,"Jerry tries to help a new immigrant restaurant owner across the street from him. George, afraid of embarrassment, asks Elaine to take an IQ test for him.","[""Jerry has become fascinated with the new café that's opened across the street. The owner, Pakistani immigrant Babu Bhatt, has few if any customers. He suggests that rather than the somewhat bland menu currently on offer he offer an all Pakistani menu. George's girlfriend meanwhile wants him to take an IQ test and when Elaine says she has an IQ of 145 he gets her to take the test for him with less than stellar results.—garykmcd""]","['iq test', 'cheating on a test', 'distraction', 'wagging finger', 'reading a newspaper', 'hot towel', 'cologne', 'binoculars', 'intelligence quotient test']"
3,8,"November 13, 1991","Larry David and Bob Shaw, Don McEnery",David&nbsp; Steinberg,S03E08,tt0697797,The Tape,8,22.0,4242,8.7,George orders hair growing cream from China. Jerry is mesmerized by a dirty message left on a tape recorder from his last performance. George becomes infatuated with Elaine.,"[""Jerry has used a voice recorder at his most recent gig so he can listen to some of his new material. A woman has added her own voice-over to part of the tape and for Jerry, George and Kramer, it is the most erotic thing they have ever heard. Elaine thinks it's all very funny since she's the woman on the tape. While Jerry frantically tries to track the mysterious woman down, Elaine tells George the truth and he is suddenly infatuated with her. George has also ordered some hair growing cream from china but it has a particularly bad smell.—garykmcd""]","['voice message', 'practical joke', 'letterman jacket', 'sexual arousal', 'long distance telephone call', 'hair wrapped in a towel', 'audio tape', 'video camera', 'hair transplant', 'hair tonic']"
3,9,"November 20, 1991",Peter Mehlman,Tom Cherones,S03E09,tt0697740,The Nose Job,9,22.0,3820,7.9,"Jerry dates a vacuous actress and struggles with overcoming his sexual desire for her. George dates a woman with a large nose, who decides to get a nose job after a careless comment from Kramer.","[""George quite likes his new girlfriend Audrey but isn't quite sure he will ever get over the fact that she has a rather large nose. When Kramer, to everyone's embarrassment, blurts out in Audrey's presence that all she needs is a nose job, she begins to seriously consider it. The results aren't what she hoped for leading to a typical reaction from George. Kramer meanwhile is still obsessing over the jacket he was forced to return to the owner two years after it was left at his mother's house. He gets Elaine involved in a scheme to get it back for him.—garykmcd""]","['lighting pipe', 'chest', 'newsstand']"
3,10,"November 27, 1991","Larry David, Jerry Seinfeld and Matt Goldman",Tom Cherones,S03E10,tt0697789,The Stranded,10,23.0,3769,7.5,"Jerry and Elaine join George for a special party, where they send signals to each other to get out of bad party conversations; George had an office romance.","[""Jerry, Elaine and George attend a party on Long Island thrown by one of George's co-workers. Elaine and Jerry are bored to tears and are ready to leave way before George. When George leaves the party with a woman from his office, Jerry gives Kramer a call to come and get them. When he's not there by 2 a.m., their hostess is ready to throw them out. When Jerry offers to return the favor someday, their host shows up on his doorstep. George has an ongoing feud with a cashier who he says short-changed him $10.—garykmcd""]","['party', 'favor', 'fur coat', 'escort service', 'shoplifting', 'drugstore', 'short change', 'flea', 'cold medicine']"
3,11,"December 4, 1991",Larry David and Bill Masters,Tom Cherones,S03E11,tt0697648,The Alternate Side,11,23.0,3783,8.2,Jerry's car is stolen. Elaine dates an older man. Kramer gets a small role in a Woody Allen movie filmed on his and Jerry's block. George must deal with the commotion of the movie filming as he gets a job parking cars on the block.,"[""After Jerry has his car stolen - he even speaks to the remorseless thief on his car phone - he tries to rent a replacement but learns that it isn't quite as simple as he thought it would be. George is intrigued to learn that there's a man in Jerry's neighborhood who earns his living by parking everyone's car and moving them when required. George thinks he on to something that he could do as well as anyone. Everyone is a bit jealous when Kramer gets a one line speaking part in Woody Allen's new movie which is being filmed in part just outside Jerry's apartment. Nothing seems to work out for any of them however.—garykmcd""]","['car rental agent', 'older man younger woman relationship', 'stroke victim', 'author', 'car', 'wheelchair', 'sunglasses', 'reservation', 'rental car', 'reference to woody allen', 'key left in ignition', '555 phone number', 'car alarm', 'stolen car']"
3,12,"December 11, 1991",Larry David,Tom Cherones,S03E12,tt0697765,The Red Dot,12,22.0,3837,8.3,George gets a job at Elaine's office and gets involved with the cleaning woman. Elaine's boyfriend is a recovering alcoholic who falls off the wagon because of Jerry's carelessness. George buys Elaine a marked-down cashmere sweater.,"[""As a thank you for getting him a job at her own place of work, George wants to get Elaine a thank you gift. When he sees a cashmere sweater marked down from $600 to $85, he's immediately interested. The only problem is that there's a red mark on the front which everyone can see and annoys Elaine to no end. At his new workplace meanwhile, George's tryst with the cleaning lady begins to have ramifications. So does the fact that Elaine's boyfriend falls off the wagon after Jerry mixes up the glasses on a table at an office party and he drinks liquor by mistake.—garykmcd""]","['color in episode title', 'christmas', 'christmas episode', 'cashmere sweater', 'sex with maid', 'sex with servant']"
